infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
7168,1024,fp16,48,1,1159305.7902071688,48
7168,1024,fp16,64,1,1379424.1146167472,64
7168,1024,fp16,1,16,391445.2862135704,16
7168,1024,fp16,1,64,1373079.3757412056,64
7168,1024,fp16,1,128,2345987.9097980536,128
7168,1024,fp16,1,256,3730485.100161638,256
7168,1024,fp16,1,512,3642605.84168168,512
7168,1024,fp16,1,1024,3676575.1984011126,1024
7168,1024,fp16,1,2048,4404189.218335459,2048
7168,1024,fp16,1,4096,4575502.02445067,4096
7168,1024,fp16,1,8192,4627567.57694854,8192
7168,1024,marlin,1,1,53959.5539578595,1
7168,1024,marlin,4,1,212298.88859862965,4
7168,1024,marlin,8,1,419079.83531104855,8
7168,1024,marlin,16,1,785594.0165311061,16
7168,1024,marlin,32,1,817149.7673117826,32
7168,1024,marlin,48,1,998801.9495469563,48
7168,1024,marlin,64,1,1106369.564580486,64
7168,1024,marlin,1,16,769275.1874516092,16
7168,1024,marlin,1,64,1105446.1410429361,64
7168,1024,marlin,1,128,1104313.2863631044,128
7168,1024,marlin,1,256,1099930.9196122023,256
7168,1024,marlin,1,512,1058085.3847827269,512
7168,1024,marlin,1,1024,1058330.697367635,1024
7168,1024,marlin,1,2048,1057262.5333913076,2048
7168,1024,marlin,1,4096,1056607.6253198287,4096
7168,1024,marlin,1,8192,1056159.8369234381,8192
8192,1024,fp16,1,1,26566.058382344847,1
8192,1024,fp16,4,1,89137.80462363534,4
8192,1024,fp16,8,1,176463.16367734183,8
8192,1024,fp16,16,1,350802.4566734417,16
8192,1024,fp16,32,1,706156.0720165155,32
8192,1024,fp16,48,1,1032294.849732941,48
8192,1024,fp16,64,1,1241829.853441997,64
8192,1024,fp16,1,16,351297.43253473885,16
8192,1024,fp16,1,64,1242736.544723272,64
8192,1024,fp16,1,128,2128987.785385108,128
8192,1024,fp16,1,256,3339897.0573159046,256
8192,1024,fp16,1,512,3203755.2416497916,512
8192,1024,fp16,1,1024,3225131.3624446704,1024
8192,1024,fp16,1,2048,3879077.2006379166,2048
8192,1024,fp16,1,4096,4020260.7360701966,4096
8192,1024,fp16,1,8192,4060133.0727049788,8192
8192,1024,marlin,1,1,48958.19195113616,1
8192,1024,marlin,4,1,194659.08799147062,4
8192,1024,marlin,8,1,384832.2875648397,8
