infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
7168,1024,marlin,1,512,1230061.0734272057,512
7168,1024,marlin,1,1024,1261301.3509320752,1024
7168,1024,marlin,1,2048,1347381.1821853367,2048
7168,1024,marlin,1,4096,1373470.2131362476,4096
7168,1024,marlin,1,8192,1329437.3680087437,8192
8192,1024,fp16,1,1,61731.5509949232,1
8192,1024,fp16,4,1,202693.1186315374,4
8192,1024,fp16,8,1,404663.86437319266,8
8192,1024,fp16,16,1,807969.5450197771,16
8192,1024,fp16,32,1,1717275.1869906455,32
8192,1024,fp16,48,1,2523056.425501166,48
8192,1024,fp16,64,1,3222146.035346346,64
8192,1024,fp16,1,16,791979.5821683517,16
8192,1024,fp16,1,64,3263640.996566802,64
8192,1024,fp16,1,128,5687798.349759536,128
8192,1024,fp16,1,256,8525963.777880238,256
8192,1024,fp16,1,512,10637442.505405743,512
8192,1024,fp16,1,1024,11192512.471330313,1024
8192,1024,fp16,1,2048,13441611.110802291,2048
8192,1024,fp16,1,4096,15031653.09728016,4096
8192,1024,fp16,1,8192,14197269.067270387,8192
8192,1024,marlin,1,1,29668.400734199142,1
8192,1024,marlin,4,1,119958.91551120338,4
8192,1024,marlin,8,1,230903.63445600477,8
8192,1024,marlin,16,1,461454.9160243996,16
8192,1024,marlin,32,1,895215.4961357857,32
8192,1024,marlin,48,1,1407171.9243022744,48
8192,1024,marlin,64,1,1965032.5588944932,64
8192,1024,marlin,1,16,481080.9649283872,16
8192,1024,marlin,1,64,1970759.8960011874,64
8192,1024,marlin,1,128,2450091.11805542,128
8192,1024,marlin,1,256,2792797.3973920695,256
8192,1024,marlin,1,512,2997020.125071353,512
8192,1024,marlin,1,1024,3071938.0356949344,1024
8192,1024,marlin,1,2048,2957612.640837645,2048
8192,1024,marlin,1,4096,3158156.759485748,4096
8192,1024,marlin,1,8192,3098363.3439598368,8192
